Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,5.0,11,5.0,11
2,2.5444444444444443,49,7.544444444444444,60
3,-6.033333333333335,115,1.5111111111111093,175
4,4.2,8,5.7111111111111095,183
5,3.866883116883116,58,9.577994227994225,241
6,2.5555555555555554,24,12.13354978354978,265
7,-10.066666666666668,28,2.066883116883112,293
8,-2.522222222222223,40,-0.45533910533911115,333
9,-4.0,23,-4.455339105339111,356
10,-8.107843137254902,62,-12.563182242594014,418
11,6.0,42,-6.563182242594014,460
12,4.6,114,-1.963182242594014,574
13,0.0,14,-1.963182242594014,588
14,0.33333333333333326,34,-1.6298489092606807,622
15,2.0,40,0.3701510907393193,662
16,1.6,29,1.9701510907393194,691
17,-2.166666666666667,29,-0.19651557592734759,720
18,6.633333333333334,87,6.436817757405986,807
19,7.35,22,13.786817757405986,829
20,-0.6666666666666666,34,13.12015109073932,863
21,16.833333333333332,50,29.953484424072652,913
22,-6.875,27,23.078484424072652,940
23,-0.4666666666666666,10,22.611817757405987,950
24,1.0,10,23.611817757405987,960
25,-0.9166666666666665,46,22.69515109073932,1006
26,-0.16666666666666652,45,22.52848442407265,1051
27,2.5,18,25.02848442407265,1069
28,-4.0,23,21.02848442407265,1092
