Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,4.0,25,4.0,25
2,1.0,13,5.0,38
3,-3.166666666666667,34,1.833333333333333,72
4,-4.0,25,-2.166666666666667,97
5,0.833333333333333,45,-1.333333333333334,142
6,2.5,15,1.166666666666666,157
7,-2.666666666666667,25,-1.5000000000000009,182
8,5.333333333333334,35,3.833333333333333,217
9,-2.0,13,1.833333333333333,230
10,-8.4,41,-6.566666666666667,271
11,-2.428571428571429,34,-8.995238095238097,305
12,7.0,19,-1.995238095238097,324
13,-4.0,39,-5.995238095238097,363
14,-0.5499999999999998,27,-6.545238095238097,390
15,8.5,42,1.9547619047619031,432
16,4.5,11,6.454761904761903,443
17,-2.0,15,4.454761904761903,458
18,0.0,33,4.454761904761903,491
19,-4.0,14,0.45476190476190315,505
